"","H","L","S","B","n","C"
"501",1,0.8,40,2,14,1.1
"502",2,0.8,40,2,14,1.8
"503",1,0.9,40,2,14,1.3265306122449
"504",2,0.9,40,2,14,2.16326530612245
"505",1,0.1,40,1,15,0
"506",2,0.1,40,1,15,0
"507",1,0.2,40,1,15,0
"508",2,0.2,40,1,15,0.333333333333333
"509",1,0.3,40,1,15,0.571428571428571
"510",2,0.3,40,1,15,0.142857142857143
"511",1,0.4,40,1,15,0.9375
"512",2,0.4,40,1,15,0.3125
"513",1,0.5,40,1,15,0.636363636363636
"514",2,0.5,40,1,15,0.181818181818182
"515",1,0.6,40,1,15,0.67741935483871
"516",2,0.6,40,1,15,0.516129032258065
"517",1,0.7,40,1,15,0.363636363636364
"518",2,0.7,40,1,15,0.545454545454545
"519",1,0.8,40,1,15,1.19047619047619
"520",2,0.8,40,1,15,1.57142857142857
"521",1,0.9,40,1,15,1.88235294117647
"522",2,0.9,40,1,15,1.62745098039216
"523",1,0.1,40,2,15,0.166666666666667
"524",2,0.1,40,2,15,0.166666666666667
"525",1,0.2,40,2,15,0.2
"526",2,0.2,40,2,15,0.2
"527",1,0.3,40,2,15,0.0625
"528",2,0.3,40,2,15,0.0625
"529",1,0.4,40,2,15,0.478260869565217
"530",2,0.4,40,2,15,0.260869565217391
"531",1,0.5,40,2,15,0.458333333333333
"532",2,0.5,40,2,15,0.208333333333333
"533",1,0.6,40,2,15,1.0625
"534",2,0.6,40,2,15,0.40625
"535",1,0.7,40,2,15,0.947368421052632
"536",2,0.7,40,2,15,1.73684210526316
"537",1,0.8,40,2,15,1.33333333333333
"538",2,0.8,40,2,15,1.07692307692308
"539",1,0.9,40,2,15,2.21276595744681
"540",2,0.9,40,2,15,2.48936170212766
"541",1,0.1,40,1,16,0
"542",2,0.1,40,1,16,0
"543",1,0.2,40,1,16,1
"544",2,0.2,40,1,16,0.25
"545",1,0.3,40,1,16,0.428571428571429
"546",2,0.3,40,1,16,0
"547",1,0.4,40,1,16,0.0625
"548",2,0.4,40,1,16,0.125
"549",1,0.5,40,1,16,0.28
"550",2,0.5,40,1,16,0.36
"551",1,0.6,40,1,16,1.03448275862069
"552",2,0.6,40,1,16,0.448275862068966
"553",1,0.7,40,1,16,0.875
"554",2,0.7,40,1,16,0.975
"555",1,0.8,40,1,16,0.707317073170732
"556",2,0.8,40,1,16,0.804878048780488
"557",1,0.9,40,1,16,1.48837209302326
"558",2,0.9,40,1,16,3.41860465116279
"559",1,0.1,40,2,16,0
"560",2,0.1,40,2,16,0
"561",1,0.2,40,2,16,0.1
"562",2,0.2,40,2,16,0
"563",1,0.3,40,2,16,0.266666666666667
"564",2,0.3,40,2,16,0
"565",1,0.4,40,2,16,0.380952380952381
"566",2,0.4,40,2,16,0.0952380952380952
"567",1,0.5,40,2,16,0.454545454545455
"568",2,0.5,40,2,16,0.272727272727273
"569",1,0.6,40,2,16,1.32258064516129
"570",2,0.6,40,2,16,1.80645161290323
"571",1,0.7,40,2,16,0.973684210526316
"572",2,0.7,40,2,16,0.5
"573",1,0.8,40,2,16,1.25581395348837
"574",2,0.8,40,2,16,0.674418604651163
"575",1,0.9,40,2,16,2.42553191489362
"576",2,0.9,40,2,16,1
"577",1,0.1,40,1,17,0
"578",2,0.1,40,1,17,0
"579",1,0.2,40,1,17,0.375
"580",2,0.2,40,1,17,0.25
"581",1,0.3,40,1,17,0.25
"582",2,0.3,40,1,17,0.125
"583",1,0.4,40,1,17,0.263157894736842
"584",2,0.4,40,1,17,0.210526315789474
"585",1,0.5,40,1,17,0.285714285714286
"586",2,0.5,40,1,17,0.428571428571429
"587",1,0.6,40,1,17,0.458333333333333
"588",2,0.6,40,1,17,0.666666666666667
"589",1,0.7,40,1,17,1.05882352941176
"590",2,0.7,40,1,17,1.88235294117647
"591",1,0.8,40,1,17,1.39130434782609
"592",2,0.8,40,1,17,1.91304347826087
"593",1,0.9,40,1,17,2.31372549019608
"594",2,0.9,40,1,17,1.50980392156863
"595",1,0.1,40,2,17,0
"596",2,0.1,40,2,17,0.25
"597",1,0.2,40,2,17,0.25
"598",2,0.2,40,2,17,0.0833333333333333
"599",1,0.3,40,2,17,0.333333333333333
"600",2,0.3,40,2,17,0.266666666666667
"601",1,0.4,40,2,17,0.307692307692308
"602",2,0.4,40,2,17,0.269230769230769
"603",1,0.5,40,2,17,0.571428571428571
"604",2,0.5,40,2,17,0.333333333333333
"605",1,0.6,40,2,17,0.741935483870968
"606",2,0.6,40,2,17,0.580645161290323
"607",1,0.7,40,2,17,0.868421052631579
"608",2,0.7,40,2,17,1.07894736842105
"609",1,0.8,40,2,17,1.64102564102564
"610",2,0.8,40,2,17,2.64102564102564
"611",1,0.9,40,2,17,2.56521739130435
"612",2,0.9,40,2,17,3.82608695652174
"613",1,0.1,40,1,18,0.25
"614",2,0.1,40,1,18,0
"615",1,0.2,40,1,18,0.125
"616",2,0.2,40,1,18,0.125
"617",1,0.3,40,1,18,0.461538461538462
"618",2,0.3,40,1,18,0.384615384615385
"619",1,0.4,40,1,18,1.25
"620",2,0.4,40,1,18,0.0625
"621",1,0.5,40,1,18,0.458333333333333
"622",2,0.5,40,1,18,0.375
"623",1,0.6,40,1,18,0.296296296296296
"624",2,0.6,40,1,18,0.444444444444444
"625",1,0.7,40,1,18,1.43589743589744
"626",2,0.7,40,1,18,0.692307692307692
"627",1,0.8,40,1,18,1.40540540540541
"628",2,0.8,40,1,18,2.56756756756757
"629",1,0.9,40,1,18,1.8125
"630",2,0.9,40,1,18,1.20833333333333
"631",1,0.1,40,2,18,0
"632",2,0.1,40,2,18,0
"633",1,0.2,40,2,18,0
"634",2,0.2,40,2,18,0.2
"635",1,0.3,40,2,18,0.375
"636",2,0.3,40,2,18,0.1875
"637",1,0.4,40,2,18,0.333333333333333
"638",2,0.4,40,2,18,0.333333333333333
"639",1,0.5,40,2,18,0.666666666666667
"640",2,0.5,40,2,18,0.555555555555556
"641",1,0.6,40,2,18,0.620689655172414
"642",2,0.6,40,2,18,1.03448275862069
"643",1,0.7,40,2,18,0.891891891891892
"644",2,0.7,40,2,18,0.702702702702703
"645",1,0.8,40,2,18,1.90243902439024
"646",2,0.8,40,2,18,0.634146341463415
"647",1,0.9,40,2,18,2.45833333333333
"648",2,0.9,40,2,18,1.64583333333333
"649",1,0.1,40,1,19,0
"650",2,0.1,40,1,19,0
"651",1,0.2,40,1,19,1.125
"652",2,0.2,40,1,19,0.375
"653",1,0.3,40,1,19,0.538461538461538
